z,xi_shoes,xi_planck,delta_xi,abs_delta_xi
0.00958,0.009556974095996679,0.009558278017238573,-1.3039212418946428e-06,1.3039212418946428e-06
0.01049,0.010462387872431478,0.010463950827515299,-1.5629550838211492e-06,1.5629550838211492e-06
0.01049,0.010462387872431478,0.010463950827515299,-1.5629550838211492e-06,1.5629550838211492e-06
0.01048,0.010452440536025275,0.010454000517563518,-1.55998153824298e-06,1.55998153824298e-06
0.00993,0.00990525949790455,0.009906660280922353,-1.4007830178019987e-06,1.4007830178019987e-06
0.00993,0.00990525949790455,0.009906660280922353,-1.4007830178019987e-06,1.4007830178019987e-06
0.0104,0.010372860032107257,0.010374396326897772,-1.5362947905148139e-06,1.5362947905148139e-06
0.01238,0.01234153011879423,0.012343705706231629,-2.175587437399165e-06,2.175587437399165e-06
0.01238,0.01234153011879423,0.012343705706231629,-2.175587437399165e-06,2.175587437399165e-06
0.01096,0.010929855882271966,0.010931561776244662,-1.7058939726956324e-06,1.7058939726956324e-06
0.01096,0.010929855882271966,0.010931561776244662,-1.7058939726956324e-06,1.7058939726956324e-06
0.01096,0.010929855882271966,0.010931561776244662,-1.7058939726956324e-06,1.7058939726956324e-06
0.01189,0.0118545178870525,0.011856524975778692,-2.0070887261931097e-06,2.0070887261931097e-06
0.01168,0.011645761324932355,0.011647698270851407,-1.936945919052413e-06,1.936945919052413e-06
0.01275,0.012709193870624191,0.012711501172982045,-2.3073023578540353e-06,2.3073023578540353e-06
0.01244,0.012401155954853126,0.012403352639572268,-2.1966847191419447e-06,2.1966847191419447e-06
0.01142,0.01138727003766649,0.011389121862195971,-1.8518245294817798e-06,1.8518245294817798e-06
0.0126,0.01256014931430971,0.012562402754098777,-2.2534397890669466e-06,2.2534397890669466e-06
0.0122,0.012162641725317575,0.012164754629298178,-2.1129039806024735e-06,2.1129039806024735e-06
0.0122,0.012162641725317575,0.012164754629298178,-2.1129039806024735e-06,2.1129039806024735e-06
0.01247,0.012430968192523631,0.012433175463904768,-2.2072713811369105e-06,2.2072713811369105e-06
0.01247,0.012430968192523631,0.012433175463904768,-2.2072713811369105e-06,2.2072713811369105e-06
0.01407,0.014020296857889492,0.014023105455720629,-2.8085978311370025e-06,2.8085978311370025e-06
0.01306,0.013017183347904127,0.013019603973544104,-2.420625639976831e-06,2.420625639976831e-06
0.01306,0.013017183347904127,0.013019603973544104,-2.420625639976831e-06,2.420625639976831e-06
0.01309,0.013046986210318991,0.01304941794628553,-2.4317359665383675e-06,2.4317359665383675e-06
0.01309,0.013046986210318991,0.01304941794628553,-2.4317359665383675e-06,2.4317359665383675e-06
0.01222,0.01218251901977345,0.012184638843513984,-2.1198237405341963e-06,2.1198237405341963e-06
0.01222,0.01218251901977345,0.012184638843513984,-2.1198237405341963e-06,2.1198237405341963e-06
0.01334,0.01329532575232876,0.013297851059347306,-2.5253070185457527e-06,2.5253070185457527e-06
0.01334,0.01329532575232876,0.013297851059347306,-2.5253070185457527e-06,2.5253070185457527e-06
0.01288,0.012838356645882213,0.01284071114154791,-2.354495665697273e-06,2.354495665697273e-06
0.01288,0.012838356645882213,0.01284071114154791,-2.354495665697273e-06,2.354495665697273e-06
0.01288,0.012838356645882213,0.01284071114154791,-2.354495665697273e-06,2.354495665697273e-06
0.0136,0.0135535654490336,0.013556189935486452,-2.6244864528516404e-06,2.6244864528516404e-06
0.0136,0.0135535654490336,0.013556189935486452,-2.6244864528516404e-06,2.6244864528516404e-06
0.0136,0.0135535654490336,0.013556189935486452,-2.6244864528516404e-06,2.6244864528516404e-06
0.01314,0.013096656639433865,0.013099106948902102,-2.450309468236822e-06,2.450309468236822e-06
0.01361,0.01356349706436502,0.013566125403393931,-2.628339028911894e-06,2.628339028911894e-06
0.01434,0.014288368774278085,0.014291285947344709,-2.9171730666233825e-06,2.9171730666233825e-06
0.014,0.013950790729558531,0.013953571512834393,-2.7807832758616757e-06,2.7807832758616757e-06
